05:36	before	密制提花护肩	力量+20	智力+22	
05:37	after	密制提花护肩	力量+20	智力+17	
05:37	before	密制科堡长靴	HP最大值+110	
05:37	after	密制科堡长靴	力量+19	
05:37	before	密制科堡长靴	力量+15	
05:39	after	密制科堡长靴	力量+23	
06:06	before	密制薄纱护腿	物理暴击率+1.9	
06:06	after	密制薄纱护腿	智力+18	
06:06	before	密制薄纱护腿	HP最大值+90	
06:07	after	密制薄纱护腿	智力+16	
06:07	before	密制伊利石手镯	HP最大值+153	
06:09	after	密制伊利石手镯	智力+14	
06:09	before	密制雪纺缎带	魔法暴击率+2.4	
06:10	after	密制雪纺缎带	智力+21	
06:25	before	密制科堡胸甲	力量+10	
06:27	after	密制科堡胸甲	力量+17	
06:27	before	密制科堡胸甲	体力+8	
06:27	after	密制科堡胸甲	力量+28	
06:46	before	密制貂皮护肩	力量+12	
06:46	after	密制貂皮护肩	力量+19	
06:46	before	密制貂皮长袍	MP最大值+150	
06:47	after	密制貂皮长袍	力量+19	
06:47	before	密制黑云母	HP最大值+160	
06:47	after	密制黑云母	智力+15	
06:47	before	密制锦丝长裤	魔法暴击率+2	
06:50	after	密制锦丝长裤	回避率+2	
06:50	before	密制锦丝长裤	精神+13	
06:52	after	密制锦丝长裤	智力+20	
06:52	before	密制科堡护肩	HP最大值+126	
06:54	after	密制科堡护肩	力量+20	
06:54	before	密制科堡护肩	魔法暴击率+2.1	
06:55	after	密制科堡护肩	力量+20	
06:57	before	密制锦丝长裤	回避率+2	
06:57	after	密制锦丝长裤	智力+30	
