03:33	271800	密制貂皮短靴	力量+30	
03:34	230200	密制貂皮护肩	力量+28	
03:34	225200	密制貂皮绑腿	力量+28	
03:35	113200	密制蟒皮短靴	力量+18	
03:56	113200	密制蟒皮短靴	力量+18	
03:56	122200	密制漆皮长袍	力量+19	
03:57	115800	密制漆皮长袍	力量+17	
03:57	117200	密制蟒皮护肩	力量+19	
03:58	225200	密制貂皮绑腿	力量+28	
03:58	115800	密制漆皮长袍	力量+17	
03:59	143800	密制貂皮长袍	力量+22	
03:59	149200	密制蟒皮护腿	力量+23	
03:59	149200	密制漆皮护肩	力量+23	
04:00	118200	密制蟒皮护腿	力量+18	
04:00	117200	密制貂皮护肩	力量+19	
04:01	211800	密制漆皮长袍	力量+27	
04:01	118200	密制漆皮长袍	力量+18	
04:01	118200	密制漆皮长袍	力量+18	
04:02	250200	密制貂皮绑腿	力量+29	
04:02	211800	密制貂皮绑腿	力量+27	
04:03	130000	密制指战员腰带	力量+21	
04:03	113200	密制貂皮护肩	力量+18	
04:04	110800	密制貂皮腰带	力量+17	
04:04	206800	密制蟒皮护腿	力量+27	
04:04	113200	密制漆皮长袍	力量+18	
04:05	206800	密制漆皮长袍	力量+27	
04:05	127800	密制漆皮长袍	力量+20	
04:06	174800	密制漆皮长袍	力量+25	
04:06	135000	密制漆皮短靴	力量+21	
04:07	115800	密制指战员腰带	力量+17	
